ITEM	REF	DESC	MEAN	ALT	FS	D1	D2	D3	D4	D5	D6	D7
20451	313	0643085865010	55000	45000	F	55000	76000					
20452	313	0643085865010	49500	40500	F	121000	131000					
20453	313	0643085965010	66000	54000	F	15000	13000					
20454	313	0643085965010	60500	49500	F	29000	28000					
20455	313	0643085965010	44000	36000	F	154000	333000	129000				
20456	313	0643085965010	38500	31500	F	7109000	6047000					
					S	7109000						
20457	313	0543085865010	71500	58500	F	12000	13000					
20458	313	0543085865010	63250	51750	F	19000	22000					
20459	313	0543085865010	55000	45000	F	28000	29000					
20460	313	0543085865010	385000	31500	F	298000	167000					
20461	313	0543085865010	35750	29250	F	251000	4686000					
20462	313	0643085965010	71500	58500	F	13000	11000					
20463	313	0643085965010	63250	51750	F	19000	32000					
20464	313	0643085965010	55000	45000	F	27000	305000					
20465	313	0643085965010	46750	38250	F	116000	54000					
20466	313	0543041965010	77000	63000	F	23000	33000					
20467	313	0543041965010	70125	57375	F	19000	13000					
20468	313	0543041965010	66000	54000	F	1106000	3528000	55000	42000	30000		
20469	313	0543041965010	55000	45000	F	9614000	3270000	2026000	29000			
